区域,节点,是否隐藏,线路,属性,适合的英雄
一,1,,A,光芒四射,
,5,,B,中毒,
,6,,C,心灵毒刺,
,10,,A,光芒四射，柔软,
,11,,B,中毒，逆转流血,
,15,,ABC,心灵毒刺，再生无效,
,16,,C,心灵毒刺,
二,3,,D,刁难，无人能挡,
,4,,F,孤注一掷,
,9,,E,强化sp1，能量集中,
,14,,E,强化sp2，能量集中,
,19,,D,刁难，大亨,
,20,,DEF,无人能挡，能量集中，破甲,
,21,,F,孤注一掷，拳脚,
三,2,,I,预备恢复，混乱,
,7,隐,G,破甲,
,8,,H,远近关系，能量维护,
,12,,H,远近关系,
,13,,I,预备恢复，庇护,
,17,隐,G,泡沫护罩,
,18,,GHI,远近关系，庇护,
四,22,隐,,投机，乐天,
,23,隐,,施虐，悲观,
五,26,,A,恢复，猛击,
,27,,B,血毒免疫,
,28,,C,闪避，腿击,
,34,,B,血毒免疫,
,35,,C,闪避，预备恢复,
,42,,A,恢复，猛击,
,43,,ABC,预备恢复，闪避，腿击,
,46,,ABC,免晕，锁能,
六,24,,D,减益获攻能,
,25,,F,增益提升，限定免疫,
,29,,E,不可挡，sp1偏好,
,33,,E,不可挡，sp2偏好,
,36,,D,减益获攻能，回击,
,37,,DEF,不可挡，减益获攻能，限定免疫,
,38,,F,增益提升，铁荆棘,
,41,,DEF,坦克爆炸，电阻，动能煽动,
七,30,隐,G,1能量开局,
,31,,H,紧密接触，普攻无伤,
,32,,I,免降准，混乱,
,39,隐,G,5%伤害限制,
,40,,H,紧密接触，虎视眈眈,
,44,,GHI,紧密接触，虎视眈眈，伤害限制,
,45,,I,免降准，电阻,
,47,,GHI,真实打击，普攻无伤，格挡获能,
八,48,,AB,柔软，眩晕，血毒免疫,
,49,,CD,真实打击，逃生，镜像,
,50,,A,强化sp1，物抗，柔软,
,51,,BC,格挡获能，能量枯萎，柔软,
,52,,D,恢复，回击，护甲,
,53,,A,强化sp2，获能,
,54,,,大boss,
,55,,D,免晕，血毒免疫,
